Scenario - 
Logfile written - 06/22/2013 13:14:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
evnka101_1passive	240	Sound	standard	2844760	0	1			0		other	0
evnka101_1passive	241	Sound	standard	2855800	0	2			0		other	0
evnka101_1passive	242	Sound	standard	2867790	0	2			0		other	0
evnka101_1passive	243	Sound	standard	2879210	0	2			0		other	0
evnka101_1passive	244	Sound	deviant	2891310	0	2			0		other	0
evnka101_1passive	245	Sound	standard	2903620	0	2			0		other	0
evnka101_1passive	246	Sound	standard	2915670	0	1			0		other	0
evnka101_1passive	247	Sound	standard	2927310	0	2			0		other	0
evnka101_1passive	248	Sound	standard	2940020	0	2			0		other	0
evnka101_1passive	249	Sound	standard	2951210	0	2			0		other	0
evnka101_1passive	250	Sound	standard	2962970	0	2			0		other	0
evnka101_1passive	251	Sound	standard	2974691	0	1			0		other	0
evnka101_1passive	252	Sound	deviant	2986680	0	2			0		other	0
evnka101_1passive	253	Sound	standard	2998560	0	2			0		other	0
evnka101_1passive	254	Sound	standard	3010740	0	1			0		other	0
evnka101_1passive	255	Sound	deviant	3021779	0	1			0		other	0
evnka101_1passive	256	Sound	standard	3034398	0	1			0		other	0
evnka101_1passive	257	Sound	standard	3046238	0	1			0		other	0
evnka101_1passive	258	Sound	standard	3058658	0	1			0		other	0
evnka101_1passive	259	Sound	standard	3070177	0	2			0		other	0
evnka101_1passive	260	Sound	deviant	3081187	0	1			0		other	0
evnka101_1passive	261	Sound	standard	3092146	0	2			0		other	0
evnka101_1passive	262	Sound	standard	3104626	0	2			0		other	0
evnka101_1passive	263	Sound	standard	3116556	0	2			0		other	0
evnka101_1passive	264	Sound	deviant	3128436	0	2			0		other	0
evnka101_1passive	265	Sound	standard	3139606	0	2			0		other	0
evnka101_1passive	266	Sound	standard	3151636	0	2			0		other	0
evnka101_1passive	267	Sound	standard	3162727	0	1			0		other	0
evnka101_1passive	268	Sound	deviant	3174266	0	1			0		other	0
evnka101_1passive	269	Sound	standard	3185866	0	2			0		other	0
evnka101_1passive	270	Sound	standard	3196696	0	2			0		other	0
evnka101_1passive	271	Sound	standard	3208186	0	1			0		other	0
evnka101_1passive	272	Sound	deviant	3219146	0	2			0		other	0
evnka101_1passive	273	Sound	standard	3230396	0	2			0		other	0
evnka101_1passive	274	Sound	standard	3241186	0	2			0		other	0
evnka101_1passive	275	Sound	standard	3252666	0	1			0		other	0
evnka101_1passive	276	Sound	standard	3264746	0	2			0		other	0
evnka101_1passive	277	Sound	standard	3277376	0	1			0		other	0
evnka101_1passive	278	Sound	standard	3290036	0	2			0		other	0
evnka101_1passive	279	Sound	standard	3300966	0	2			0		other	0
evnka101_1passive	280	Sound	deviant	3312236	0	2			0		other	0
evnka101_1passive	281	Sound	standard	3323946	0	2			0		other	0
evnka101_1passive	282	Sound	standard	3335036	0	2			0		other	0
evnka101_1passive	283	Sound	standard	3347706	0	2			0		other	0
evnka101_1passive	284	Sound	standard	3358786	0	1			0		other	0
evnka101_1passive	285	Sound	deviant	3371275	0	2			0		other	0
evnka101_1passive	286	Sound	standard	3383615	0	1			0		other	0
evnka101_1passive	287	Sound	standard	3396305	0	2			0		other	0
evnka101_1passive	288	Sound	standard	3407936	0	1			0		other	0
evnka101_1passive	289	Sound	standard	3420595	0	2			0		other	0
evnka101_1passive	290	Sound	deviant	3432775	0	2			0		other	0
evnka101_1passive	291	Sound	standard	3444075	0	1			0		other	0
evnka101_1passive	292	Sound	standard	3456385	0	2			0		other	0
evnka101_1passive	293	Sound	deviant	3468654	0	2			0		other	0
evnka101_1passive	294	Sound	standard	3481354	0	1			0		other	0
evnka101_1passive	295	Sound	standard	3492273	0	1			0		other	0
evnka101_1passive	296	Sound	deviant	3503823	0	2			0		other	0
evnka101_1passive	297	Sound	standard	3516563	0	1			0		other	0
evnka101_1passive	298	Sound	standard	3527762	0	2			0		other	0
evnka101_1passive	299	Sound	deviant	3539812	0	1			0		other	0
